Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"0.5% w/EPI 1:100,000; 1.8 mL Carpule (NDC 00409-0996-01)",Revised,11/22/2019,Discontinued,,,Discontinuation of the manufacture of the drug,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"2.5 g/50 mL (0.5%; 1:200,000); Multiple Dose Glass Fliptop Vial (NDC 00409-3177-01)",Revised,11/22/2019,Available,,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"200 mg/20 mL (1%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 00409-3178-01)",Revised,11/22/2019,Available,,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"300 mg/30 mL (1%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 00409-3178-02)",Revised,11/22/2019,Limited Supply Available. Next Delivery and Estimated Recovery: November 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"500 mg/50 mL (1%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3178-03)",Revised,11/22/2019,Limited Supply Available. Next Delivery and Estimated Recovery: November 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"75 mg/5 mL (1.5%; 1:200,000); Glass Ampul (NDC 0409-1209-01)",Revised,11/22/2019,Available,,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"450 mg/30 mL (1.5%; 1:200,000); Single Dose Glass Fliptop Vial (NDC 0409-3181-01)",Revised,11/22/2019,Available,,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"400 mg/20 mL (2%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3182-01)",Revised,11/22/2019,Next Delivery: November 2019; Estimated Recovery: January 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"600 mg/30 mL (2%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3182-02)",Revised,11/22/2019,Next Delivery: December 2019; Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"1 g/50 mL (2%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3182-03)",Revised,11/22/2019,Next Delivery: November 2019; Estimated Recovery: December 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"400 mg/20 mL (2%; 1:200,000); Single Dose Glass Fliptop Vial (NDC 0409-3183-01)",Revised,11/22/2019,Next Delivery and Estimated Recovery: November 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,"Hospira, Inc.",844-646-4398,"2% w/EPI 1:50,000; 1.8mL syringe (NDC 00409-7263-01)",Revised,11/22/2019,Discontinued,,,Discontinuation of the manufacture of the drug,Anesthesia;Pediatric,Current,,,02/22/2012,,,,,,,
Liothyronine Sodium Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,Liothyronine Sodium 5mcg tablets (NDC 0378-3611-01),New,03/28/2018,,The discontinuation of this product is a business decision,,,Endocrinology/Metabolism,To be Discontinued,03/28/2018,03/28/2018,03/28/2018,,,,,,,
Liothyronine Sodium Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,Liothyronine Sodium 25mcg tablets (NDC 0378-3612-01),New,03/28/2018,,The discontinuation of this product is a business decision,,,Endocrinology/Metabolism,To be Discontinued,03/28/2018,03/28/2018,03/28/2018,,,,,,,
Liotrix (Thyrolar) Tablets,Allergan,800-678-1605,Thyrolar-1/4 (NDC 0456-0040-01),New,12/06/2018,,"The company has made a business decision to discontinue manufacturing of Thyrolar® (Liotrix tablets, USP) ¼, ½, 1, 2 and 3 grains",,,Endocrinology/Metabolism,To be Discontinued,12/06/2018,12/06/2018,12/06/2018,,,,,,,
Liotrix (Thyrolar) Tablets,Allergan,800-678-1605,Thyrolar-1/2 (NDC 0456-0045-01),New,12/06/2018,,"The company has made a business decision to discontinue manufacturing of Thyrolar® (Liotrix tablets, USP) ¼, ½, 1, 2 and 3 grains",,,Endocrinology/Metabolism,To be Discontinued,12/06/2018,12/06/2018,12/06/2018,,,,,,,
Liotrix (Thyrolar) Tablets,Allergan,800-678-1605,Thyrolar-1 (NDC 0456-0050-01),New,12/06/2018,,"The company has made a business decision to discontinue manufacturing of Thyrolar® (Liotrix tablets, USP) ¼, ½, 1, 2 and 3 grains",,,Endocrinology/Metabolism,To be Discontinued,12/06/2018,12/06/2018,12/06/2018,,,,,,,
Liotrix (Thyrolar) Tablets,Allergan,800-678-1605,Thyrolar-2 (NDC 0456-0055-01),New,12/06/2018,,"The company has made a business decision to discontinue manufacturing of Thyrolar® (Liotrix tablets, USP) ¼, ½, 1, 2 and 3 grains",,,Endocrinology/Metabolism,To be Discontinued,12/06/2018,12/06/2018,12/06/2018,,,,,,,
Liotrix (Thyrolar) Tablets,Allergan,800-678-1605,Thyrolar-3 (NDC 0456-0060-01),New,12/06/2018,,"The company has made a business decision to discontinue manufacturing of Thyrolar® (Liotrix tablets, USP) ¼, ½, 1, 2 and 3 grains",,,Endocrinology/Metabolism,To be Discontinued,12/06/2018,12/06/2018,12/06/2018,,,,,,,
Lisinopril (Prinivil) Tablets,Merck Sharp & Dohme Corp.,800-672-6372,"5-mg tablets, unit-of-use bottle/90 (NDC 0006-0019-54)",New,03/11/2019,,To be discontinued on or near April 2019.,,,Cardiovascular,To be Discontinued,03/11/2019,,03/11/2019,,,,,,,
Lisinopril Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,2.5 mg (NDC 0378-2072-01); 5 mg (NDC 0378-2073-01); 5 mg (NDC 0378-2073-10); 10 mg (NDC 0378-2074-01); 10 mg (NDC 0378-2074-10); 20 mg (NDC 0378-2075-01); 20 mg (NDC 0378-2075-10); 30 mg (NDC 0378-2077-01); 40 mg (NDC 0378-2076-01; 40 mg (NDC 0378-2076-05),New,04/11/2018,,The discontinuation of this product is a business decision,,,Cardiovascular,To be Discontinued,04/11/2018,04/11/2018,04/11/2018,,,,,,,
"Lorazepam Injection, USP","Hospira, Inc.",844-646-4398,4 mg/mL; Carpuject Luer Lock Glass Syringe (NDC 00409-1539-31),Revised,11/22/2019,Next delivery: January 2020 Estimated Recovery: December 2020,Shortage per manufacturer: Manufacturing Delay,,Other,Neurology,Current,,,05/03/2018,,,,,,,
"Lorazepam Injection, USP","Hospira, Inc.",844-646-4398,2 mg/mL; Carpuject Luer Lock Glass Syringe  (NDC 00409-1985-30),Revised,11/22/2019,Available,,,Other,Neurology,Current,,,05/03/2018,,,,,,,
"Lorazepam Injection, USP","Hospira, Inc.",844-646-4398,2 mg/mL; 1 mL Multiple Dose Glass Fliptop Vial (NDC 00409-6778-02),Revised,11/22/2019,Available,,,Other,Neurology,Current,,,05/03/2018,,,,,,,
"Lorazepam Injection, USP","Hospira, Inc.",844-646-4398,4 mg/mL; 1 mL Multiple Dose Glass Fliptop Vial (NDC 00409-6779-02),Revised,11/22/2019,Available,,,Other,Neurology,Current,,,05/03/2018,,,,,,,
"Lorazepam Injection, USP","Hospira, Inc.",844-646-4398,20 mg/10 mL (2 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-6780-02),Revised,11/22/2019,Limited Supply Available. Next Delivery and Estimated Recovery: August 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Neurology,Current,,,05/03/2018,,,,,,,
"Lorazepam Injection, USP","Amphastar Pharmaceuticals, Inc./IMS",800-423-4136,"LORAZEPAM INJECTION, USP, C IV [2 mg/ mL](NDC 76329-8261-1)",Reverified,08/20/2018,Available,,,Other,Neurology,Current,,,05/03/2018,,,,,,,
"Lorazepam Injection, USP",Akorn Pharmaceuticals,800-932-5676,Lorazepam Injection 2 mg/mL (NDC 17478-040-01),Revised,09/05/2018,Product available,,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Ativan (lorazepam) Injection 2 mg/mL, 1 mL vial (NDC 0641-6001-25)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Ativan (lorazepam) Injection 2 mg/mL, 10 mL vial (NDC 0641-6000-10)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured. Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Ativan (lorazepam) Injection 4 mg/mL, 1 mL vial (NDC 0641-6003-25)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Ativan (lorazepam) Injection 4 mg/mL, 10 mL vial ((NDC 0641-6002-10)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Lorazepam Injection, USP 2 mg/mL, 1 mL vial (NDC 0641-6044-25)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured in the July - August 2019 timeframe.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Lorazepam Injection, USP 2 mg/mL, 10 mL vial (NDC 0641-6046-10)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Lorazepam Injection, USP 4 mg/mL, 1 mL vial (NDC 0641-6045-25)",Reverified,10/04/2019,This presentation is temporarily on backorder.,Additional lots are scheduled to be manufactured in the July - August 2019 timeframe.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
"Lorazepam Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Lorazepam Injection, USP 4 mg/mL, 10 mL vial (NDC 0641-6002-10)",Reverified,10/04/2019,Inventory is currently available.,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,Demand increase for the drug,Neurology,Current,,,09/05/2018,,,,,,,
Meclizine Hydrochloride Tablets,Epic Pharmaceuticals,718-276-8607,"12.5mg tablets, 100 count (NDC 42806-012-01)",New,02/28/2018,,This discontinuation is due to a business decision.,,,Gastroenterology,To be Discontinued,02/28/2018,02/28/2018,02/28/2018,,,,,,,
Meclizine Hydrochloride Tablets,Epic Pharmaceuticals,716-276-8607,"12.5mg tablets, 1000 count (NDC 42806-012-10)",New,02/28/2018,,This discontinuation is due to a business decision.,,,Gastroenterology,To be Discontinued,02/28/2018,02/28/2018,02/28/2018,,,,,,,
Meclizine Hydrochloride Tablets,Epic Pharmaceuticals,716-276-8607,"25mg tablets, 100 count (NDC 42806-014-01)",New,02/28/2018,,This discontinuation is due to a business decision.,,,Gastroenterology,To be Discontinued,02/28/2018,02/28/2018,02/28/2018,,,,,,,
Meclizine Hydrochloride Tablets,Epic Pharmaceuticals,716-276-8607,"25mg tablets, 1000 count (NDC 42806-014-10)",New,02/28/2018,,This discontinuation is due to a business decision.,,,Gastroenterology,To be Discontinued,02/28/2018,02/28/2018,02/28/2018,,,,,,,
Megestrol Acetate (Megace) Oral Suspension,Bristol Myers Squibb Co.,800-332-2056,40 mg/mL Oral Suspension (NDC 00015-508-42),New,05/06/2019,,,,,Endocrinology/Metabolism,To be Discontinued,05/06/2019,05/06/2019,05/06/2019,,,,,,,
Megestrol Acetate (Megace) Oral Suspension,"Endo Pharmaceuticals, Inc.",800-462-3636,MEGACE®ES 625mg/5ml Suspension (NDC 63481-160-38),New,08/21/2019,,Endo has made a business decision to permanently discontinue the drug product.,,,Endocrinology/Metabolism,To be Discontinued,08/21/2019,08/21/2019,08/21/2019,,,,,,,
Mesna Injection,Teva Pharmaceuticals,800-545-8800,100 mg/mL (NDC 0703-4805-03),New,06/21/2019,,This product discontinuation is a business related decision.,,,Oncology,To be Discontinued,06/21/2019,06/21/2019,06/21/2019,,,,,,,
"Metaproterenol Sulfate Tablets, USP",Par Pharmaceutical,"800-828-9393 option 5, then option 2","10mg, 100 count (NDC 49884-0258-01)",New,07/12/2019,,Business decision to discontinue marketing in the US.,,,Pulmonary/Allergy,To be Discontinued,07/12/2019,07/12/2019,07/12/2019,,,,,,,
"Metaproterenol Sulfate Tablets, USP",Par Pharmaceutical,"800-828-9393 option 5, then option 2","20mg, 100 count (NDC 49884-0259-01)",New,07/12/2019,,Business decision to discontinue marketing in the US.,,,Pulmonary/Allergy,To be Discontinued,07/12/2019,07/12/2019,07/12/2019,,,,,,,
Metformin Hydrochloride (Glucophage XR) Tablets Extended Release,Bristol Myers Squibb Co.,800-332-2056,"500mg 100/bottle, (NDC 0087-6063-13)",New,02/27/2019,,This was a business-related decision to discontinue manufacturing these products,,,Endocrinology/Metabolism,To be Discontinued,02/27/2019,02/27/2019,02/27/2019,,,,,,,
Metformin Hydrochloride (Glucophage XR) Tablets Extended Release,Bristol Myers Squibb Co.,800-332-2056,750mg 100/bottle (NDC 0087-6064-13),New,02/27/2019,,This was a business-related decision to discontinue manufacturing these products,,,Endocrinology/Metabolism,To be Discontinued,02/27/2019,02/27/2019,02/27/2019,,,,,,,
Metformin Hydrochloride (Glucophage) Tablets,Bristol Myers Squibb Co.,800-332-2056,"500mg 100/bottle, (NDC  0087-6060-05)",New,02/27/2019,,This was a business-related decision to discontinue manufacturing these products,,,Endocrinology/Metabolism,To be Discontinued,02/27/2019,02/27/2019,02/27/2019,,,,,,,
Metformin Hydrochloride (Glucophage) Tablets,Bristol Myers Squibb Co.,800-332-2056,"500mg 500/bottle, (NDC 0087-6060-10)",New,02/27/2019,,This was a business-related decision to discontinue manufacturing these products,,,Endocrinology/Metabolism,To be Discontinued,02/27/2019,02/27/2019,02/27/2019,,,,,,,
Metformin Hydrochloride (Glucophage) Tablets,Bristol Myers Squibb Co.,800-332-2056,"850mg 100/bottle, (NDC 0087-6070-05)",New,02/27/2019,,This was a business-related decision to discontinue manufacturing these products,,,Endocrinology/Metabolism,To be Discontinued,02/27/2019,02/27/2019,02/27/2019,,,,,,,
Metformin Hydrochloride (Glucophage) Tablets,Bristol Myers Squibb Co.,800-332-2056,"1000mg 100/bottle, (NDC 0087-6071-11)",New,02/27/2019,,This was a business-related decision to discontinue manufacturing these products,,,Endocrinology/Metabolism,To be Discontinued,02/27/2019,02/27/2019,02/27/2019,,,,,,,
Metformin Hydrochloride Extended Release Tablets,Teva Pharmaceuticals,800-545-8800,"Metformin Hydrochloride Tablet Extended Release, 750 mg per tablet, (NDC 0093-7212-01), 100 count per bottle",New,07/22/2019,,Teva made a business decision to discontinue the drug product.,,,Endocrinology/Metabolism,To be Discontinued,07/22/2019,07/22/2019,07/22/2019,,,,,,,
Metformin Hydrochloride Extended Release Tablets,Teva Pharmaceuticals,800-545-8800,"Metformin Hydrochloride Tablet Extended Release, 500 mg per tablet, (NDC 0093-7267-01), 100 count per bottle",New,07/22/2019,,Teva made a business decision to discontinue the drug product.,,,Endocrinology/Metabolism,To be Discontinued,07/22/2019,07/22/2019,07/22/2019,,,,,,,
Metformin Hydrochloride Extended Release Tablets,Teva Pharmaceuticals,800-545-8800,"Metformin Hydrochloride Tablet Extended Release, 500 mg per tablet, (NDC 0093-7267-10), 1000 count per bottle",New,07/22/2019,,Teva made a business decision to discontinue the drug product.,,,Endocrinology/Metabolism,To be Discontinued,07/22/2019,07/22/2019,07/22/2019,,,,,,,
Methadone Hydrochloride Injection,Mylan Institutional,800-RXMYLAN (1-800-796- 9526),Methadone Hydrochloride Injection (Solution in Multi Dose Vials) [200 mg / 20 ml](NDC 67457-217-20),Reverified,11/12/2019,Available,,,Other,Analgesia/Addiction;Anesthesia,Current,,,04/25/2018,,,,,,,
Methadone Hydrochloride Injection,Akorn Pharmaceuticals,800-932-5676,"Methadone Hydrochloride Injection USP, 200 mg/20 mL (10 mg/mL) , 20 mL multidose vials (NDC 17478-380-20)",Revised,05/21/2018,Product available,"To order, contact Akorn Customer Service (1-800-932-5676)",,Shortage of active ingredient,Analgesia/Addiction;Anesthesia,Current,,,04/25/2018,,,,,,,
"Methocarbamol Tablet, USP","Endo Pharmaceuticals, Inc.",800-462-3636,"Robaxin® 500mg, 100 Tablets (NDC 52244-429-10)",New,08/21/2019,,Endo has made a business decision to permanently discontinue the drug product.,,,Analgesia/Addiction;Musculoskeletal,To be Discontinued,08/21/2019,08/21/2019,08/21/2019,,,,,,,
Methocarbamol Tablets,"Oxford Pharmaceuticals, LLC",256-759-6905,"500 mg, 100 ct (NDC 69584-611-10); 500 ct (NDC 69584-611-50); 1000 ct (NDC 69584-611-90)",Revised,10/01/2019,Available,,,Other,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,"Oxford Pharmaceuticals, LLC",256-759-6905,"750 mg, 100 ct (NDC 69584-612-10); 500 ct (NDC 69584-612-50); 1000 ct (NDC 69584-612-90)",Revised,10/01/2019,Available,,,Other,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,"Solco Healthcare US, LLC",866-931-9829,"500 mg, 100 ct (NDC 43547-0405-10); 500 ct (NDC 43547-0405-50)",New,08/17/2018,On allocation to contract customers only due to increase in product demand. No interruption in supply.,Increased customer demand for the product,,Shortage of active ingredient,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,"Solco Healthcare US, LLC",866-931-9829,"750 mg, 100 ct (NDC 43547-0226-10); 500 ct (NDC 43547-0226-50)",New,08/17/2018,On allocation to contract customers only due to increase in product demand. No interruption in supply.,Increased customer demand for the product,,Shortage of active ingredient,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,Granules Pharmaceuticals Inc.,877-770-3183,"500 mg, 100 ct (NDC 70010-754-01); 500 ct (NDC 70010-754-05)",Reverified,11/23/2018,Available,Available,,Other,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,Granules Pharmaceuticals Inc.,877-770-3183,"750 mg, 100 ct (NDC 70010-770-01); 500 ct (NDC 70010-770-05)",Reverified,11/23/2018,Available,Available,,Other,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,"AustarPharma, LLC",805-447-9866 ext. 259,"Distributed by Golden State Medical Supply, Inc.: 500 mg, 100 ct (NDC 60429-118-01); 500 ct (NDC 60429-118-05) Distributed by Virus Pharmaceuticals: 500 mg, 100 ct (NDC 69543-134-10); 500 ct (NDC 69543-134-50)",Reverified,11/21/2018,Currently available,,,Shortage of active ingredient,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,"AustarPharma, LLC",805-477-9866 ext. 259,"Distributed by Golden State Medical Supply, Inc.: 750 mg, 100 ct (NDC 60429-119-01); 500 ct (NDC 60429-119-05) Distributed by Virtus Pharmaceuticals: 750 mg, 100 ct (NDC 69543-135-10); 500 ct (NDC 69543-135-50)",Reverified,11/21/2018,Currently available,,,Shortage of active ingredient,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,Camber Pharmaceuticals Inc.,866-827-3647,"500 mg, 100 ct (NDC 31722-533-01); 500 ct (NDC 31722-533-05)",New,08/17/2018,Estimated release Nov 2018,API shortage,,Shortage of active ingredient,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,Camber Pharmaceuticals Inc.,866-827-3647,"750 mg, 100 ct (NDC 31722-534-01); 500 ct (NDC 31722-534-05)",New,08/17/2018,Estimated release Nov 2018,API shortage,,Shortage of active ingredient,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,Bayshore Pharmaceuticals,973-315-1819,"500 mg, 100 ct (NDC 76385-123-01); 500 ct (NDC 76385-123-50)",Revised,11/21/2018,"Limited supply, on allocation",Increased production on-going,,Increase in demand,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methocarbamol Tablets,Bayshore Pharmaceuticals,973-315-1819,"750 mg, 100 ct (NDC 76385-124-01); 500 ct (NDC 76385-124-50)",Revised,11/21/2018,"Limited supply, on allocation",Increased production on-going,,Increase in demand,Analgesia/Addiction,Current,08/17/2018,,08/17/2018,,,,,,,
Methotrexate Sodium Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"25 mg/mL, 2 mL vial (NDC 0143-9519-10)",New,02/15/2019,Inventory is currently available,Additional lots are scheduled to be manufactured in the February – March 2018 timeframe.  Product will be made available as it is released.,,Demand increase for the drug,Oncology,Current,,,10/12/2017,,,,,,,
Methotrexate Sodium Injection,Teva Pharmaceuticals,800-545-8800,25MG/ML 1X40ML (NDC 00703-3678-01),Reverified,11/18/2019,Available,,,,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,Teva Pharmaceuticals,800-545-8800,25MG/ML 1X40ML Premier label  (NDC 00703-3678-81),Reverified,11/18/2019,Available,,,,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,Teva Pharmaceuticals,800-545-8800,25MG/ML 1X10ML (NDC 00703-3675-01),Reverified,11/18/2019,Available,,,,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,Teva Pharmaceuticals,800-545-8800,25MG/ML SDV 10X2ML (NDC 00703-3671-03),Reverified,11/18/2019,Available,,,,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,"Fresenius Kabi USA, LLC",888-386-1300,"1 gram per vial, 50 mL vial, SDV (NDC 63323-122-50)",Reverified,11/12/2019,Available,Check wholesalers for inventory.,,Demand increase for the drug,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,"Fresenius Kabi USA, LLC",888-386-1300,"250 mg per 10 mL, vial (NDC 63323-123-10)",Reverified,11/12/2019,Available,Check wholesalers for inventory.,,Demand increase for the drug,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,"Hospira, Inc.",844-646-4398,50 mg/2 mL (25 mg/mL); Glass Fliptop Vial (NDC 61703-0350-38),Reverified,11/22/2019,Limited Supply Available. Next Delivery: November 2019; Estimated Recovery: December 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,"Hospira, Inc.",844-646-4398,1 g/40 mL (25 mg/mL); Single Dose Glass Fliptop Vial (NDC 61703-0408-41),Reverified,11/22/2019,Available,,,Other,Oncology,Current,,,04/24/2017,,,,,,,
Methotrexate Sodium Injection,Mylan Institutional,800-RXMYLAN (1-800-796- 9526),1000 mg/40 mL (NDC 67457-480-40),Reverified,11/12/2019,Available,,,Demand increase for the drug,Oncology,Current,,,10/12/2017,,,,,,,
Methotrexate Sodium Injection,Accord Healthcare Inc.,800-843-7477,25 mg/mL; 2mL (NDC 16729-277-30),Revised,10/26/2017,Available,,,Available,Oncology,Current,,,05/16/2017,,,,,,,
Methotrexate Sodium Injection,Accord Healthcare Inc.,800-843-7477,25 mg/mL; 40 mL (NDC 16729-277-35),Revised,10/26/2017,Available,,,Available,Oncology,Current,,,05/16/2017,,,,,,,
Methotrexate Sodium Injection,Accord Healthcare Inc.,800-843-7477,25 mg/mL; 10 mL (NDC 16729-277-03),Revised,10/26/2017,Available,,,Available,Oncology,Current,,,05/16/2017,,,,,,,
"Methotrexate Tablets, USP","Endo Pharmaceuticals, Inc.",800-462-3636,"Methotrexate Sodium 2.5 mg Tablet, 36 count (NDC 67253-320-36)",New,09/13/2019,,Endo has made a business decision to permanently discontinue the drug product.,,,Dermatology;Oncology;Rheumatology,To be Discontinued,09/13/2019,09/13/2019,09/13/2019,,,,,,,
"Methotrexate Tablets, USP","Endo Pharmaceuticals, Inc.",800-462-3636,"Methotrexate Sodium 2.5 mg Tablet, 100 count (NDC 67253-320-10)",New,09/13/2019,,Endo has made a business decision to permanently discontinue the drug product.,,,Dermatology;Oncology;Rheumatology,To be Discontinued,09/13/2019,09/13/2019,09/13/2019,,,,,,,
"Methscopolamine Bromide, Tablets, USP",Par Pharmaceutical,800-828-9393,"2.5 mg, 100 count (NDC  64376-603-01)",New,07/18/2019,,Par has made a business decision to permanently discontinue the drug product.,,,Gastroenterology,To be Discontinued,07/18/2019,07/18/2019,07/18/2019,,,,,,,
"Methscopolamine Bromide, Tablets, USP",Par Pharmaceutical,800-828-9393,"5 mg, 60 count (NDC 64376-604-61)",New,07/18/2019,,Par has made a business decision to permanently discontinue the drug product.,,,Gastroenterology,To be Discontinued,07/18/2019,07/18/2019,07/18/2019,,,,,,,
Methyclothiazide Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"5 mg, 100 count bottle (NDC 0378-0160-01)",New,05/02/2019,,,,,Cardiovascular,To be Discontinued,05/02/2019,05/02/2019,05/02/2019,,,,,,,
Methyldopa Tablets,Teva Pharmaceuticals,800-545-8800,500 mg/1 unit (NDC 0093-2932-05),New,06/10/2019,,"The discontinuation of these products is a business decision and not related to product quality, safety or efficacy.",,,Cardiovascular,To be Discontinued,06/10/2019,06/10/2019,08/30/2018,,,,,,,
